Cod interno;Descripcion;Precio Lista
197;Grants Ale Cask ESTUCHE x750;28250,53
198;Glenfiddich 12 años EST: x750;80613,96
199;Glenfiddich 15 años EST. x750;147998,52
200;Johnnie Walker Red x 1lt;30590
201/1;Johnnie Walker Black x 1lt;47375
203;Doble V 1 lts;5673,2
206;Johnnie Walker Red x 750ml;27250
209;Johnnie Walker Blue Label 750ml;279997,2
209/1;Johnnie Walker Swing x 750ml;81000
36;Whisky Criadores x 1lt;7209,8
41;Langs Select 12 años 700cc;28600
416;Whisky Workers x 1 lt;2818,8
102;9 de Oro Clasica x200gr;809,97
103;9 de Oro Agridulce x200gr;809,97
104;9 de Oro Azucaradas x200gr;809,97
120;Azucar La Prov. x 1kg;923,02
121;Arroz Apostoles x 500gr;821,94
122;Tallarin La Prov. x 500gr;775,39
123;Spaguetti La Prov. x 500gr;775,39
124;Tirabuzon La Prov. x 500gr;775,39
125;Celentano La Prov. x 500gr;775,39
126;Mostachol La Prov. x 500gr;775,39
127;Codo La Prov. x 500gr;775,39
128;Moño La Prov. x 500gr;1125,18
133;Galletitas Chips La Prov. x1;549,29
134;Galletitas Chips La Prov. x3;1566,74
135;Galletitas La Prov. Pack x3;779,38
136;Galletitas La Prov. Pack x5;1234,24
177;Chocolatada ChoChoCo x 1 lt;2164,5
177/1;Chocolatada ChoChoCo x 200 ml;560,64
188;Pure de Tomate 1030gr Pont.;1315,13
189;Pure de Tomate 520gr Pont.;778,77
190;Pure de Tomate 208gr Pont.;437,24
191;Pulpa de Tomate 510gr Pont.;655,09
272;Velas El Litoral Med. Blancas x4;1093,26
273;Velas El Litoral Chicas Blancas x4;796,67
274;Velas El Litoral Med. Rojas x4;1111,88
275;Velas El Litoral Chicas Rojas x4;796,67
276;Velas Plegaria Chicas Blancas x4;545,3
277;Velas Plegaria Med. Blancas x4;651,7
330;Det. Magic Limon x 330cc;1312,71
331;Det. Magic Limon x 500cc;1655,85
332;Det. Magic Colageno x 330cc;1312,71
333;Det. Magic Naranja x 500cc;1655,85
334;Det. Magic Aloe Vera x 500cc;1655,85
335;Insec. X5 M y M AMARILLO x 360cc;3203,97
335/1;Insec. X5  C y H VERDE x360cc;3318,35
335/2;Insec. X5  C y A  DORADO x360cc;4339,79
336;Lavandina X5 x 1lt;868,49
337;Espirales X5 x4 unid.;505,4
337/1;Espirales X5  x12 unid.;1255,52
338;Desod. JARDIN Brisa Marina x360cc ;2154,6
339;Desod. JARDIN Frutos del Bosq. x360cc;1779,54
340;Repelente X5 Classic. x170cc;4036,55
341;Repelente X5 Larga Dur. x170cc;5276,11
811;Tomate Triturado Tarragona 950gr;1989,68
812;Salsa Pizza Doña Pupa 340gr;648
812/1;Salsa Filetto Doña Pupa 340gr;713,75
812/2;Salsa Pomarola Doña Pupa 340gr;713,75
824;Doña Pupa Arvejas x 340g;485,06
825;Doña Pupa Lentejas x 340g;680
826;Jardinera Doña pupa x340gr;732,5
827;Poroto Doña Pupa x 340gr;670
827/1;Poroto Colorado Doña Pupa x 340gr;693,75
827/2;Poroto Negro Doña Pupa x 340gr;756,25
828;Choclo Doña Pupa x 340gr;1272,66
829;Remolacha Doña Pupa x 340gr;1510
830;Zanahoria Doña Pupa x 340gr;611,25
831;Choclo crem. amarillo Doña Pupa x 340gr;521,25
831/1;Choclo crem. blanco Doña Pupa x 340gr;521,25
834;Dulce de Leche Marcrem x 400gr;1367,6
835;Mermelada Durazno Doña Pupa x 500gr;1029,6
836;Mermelada Frutilla Doña Pupa x 500gr;1240,2
908;Doña Sal Fina x 500gr;408,31
909;Doña Sal Gruesa x 1 kg;637,07
910;Sal Fina Trilaminada Dos Anclas 500gr;1036,07
917;Atun Desm. al Natural BAHIA 170gr;1290
918;Atun Desm. al Aceite BAHIA 170gr;1290
919;Atun lomitos en aceite y agua BAHIA 170gr;3062,5
919/1;Atun lomitos al natural BAHIA 170gr;2900
920;Champignones en Trozos Bahia x 184gr;1337,5
921;Papel H. X-TRA x80m BLANCO (bordo);579,8
922;Papel H. X-TRA x80m ECO (verde);522,6
923;Papel H. X-TRA x60m NATURAL (rojo);406,9
924;Papel H. X-TRA BLANCO x4u (azul);1080,3
925;Papel H. X-TRA NATURAL x4u (rojo);950,3
926;Papel H. X-TRA BLANCO x6u (azul);1621,1
927;Papel H. X-TRA NATURAL x6u (rojo);1424,8
928;Papel H. X-TRA x4u BLANCO 80m (violeta);2406,3
929;Pañuelos X-TRA Blonde x6u;1094,6
930;Pañuelos X-TRA BOX x75u;1082,9
931;Energizer AA;1044,05
932;Energizer AAA;1044,05
933;Energizer D2;3779,86
950;Yerba La Tranquera Tradicional x 1 kg;2714,53
951;Yerba La Tranquera Tradicional. x 500 gr;1389,85
952;Yerba La Tranquera Liviana x 1 kg;2549,61
953;Yerba La Tranquera Liviana x 500 gr;1306,06
954;Yerba La Tranquera Suave x 1 kg;2714,53
955;Yerba La Tranquera Suave x  500 gr;1389,85
956;Yerba en Saquitos La Tranquera Trad. x 25 und.;1075
957;Yerba en Saquitos La Tranquera Suave x 25 und.;1075
958;Yerba Cachamai x 500gr;2122,17
960;Bolsa 80 x 110 Kinder x10u;1074,6
961;Bolsa 60 x 90 Kinder x10u;615,99
962;Bolsa 45 x 60 Kinder x30u;642,92
963;Bolsa Simba 80 x 110 x10u;1893,92
964;Bolsa Simba 60 x 90 x10u;990,25
99;Girasolazo x 50gr (16 und.);5868,45
A3;Dulce de Membrillo Doña Pupa x 4kg;8345,7
